@relation 'featureTraining_1-weka.filters.unsupervised.attribute.NumericToNominal-R1-4,9-weka.filters.unsupervised.attribute.NominalToString-C1-4,9'

@attribute geid string
@attribute gseason string
@attribute gweek string
@attribute htid string
@attribute hthwr numeric
@attribute htowr numeric
@attribute hthtor numeric
@attribute hthtop numeric
@attribute atid string
@attribute atawr numeric
@attribute atowr numeric
@attribute atator numeric
@attribute atatop numeric
@attribute gw {h,a}

@data
2010100311,2010,4,16,0.875,0.8125,1.375,0.511944,29,0.5,0.5625,2.875,0.457743,h
2010100312,2010,4,27,0.5,0.4375,2.75,0.523523,17,0.25,0.4375,3,0.447708,h
2010100400,2010,4,10,0.375,0.5,1.875,0.509792,11,0.375,0.6875,1.875,0.497951,a
2010101000,2010,5,9,0.25,0.3125,1,0.44441,7,0.25,0.4375,2.375,0.469514,a
2010101001,2010,5,1,0.75,0.625,1,0.518333,13,0.25,0.3125,1.5,0.493403,h
2010101002,2010,5,6,0.875,0.75,1.375,0.491597,14,0.5,0.4375,1.75,0.471667,h
2010101003,2010,5,28,0.375,0.3125,1.625,0.478666,19,0.5,0.6875,1.75,0.540793,h
2010101004,2010,5,18,0.25,0.125,2,0.485035,32,0.125,0.1875,2.5,0.471199,h
2010101005,2010,5,22,0.5,0.4375,1.625,0.495104,17,0.375,0.5,3.125,0.440243,a
2010101006,2010,5,2,0.75,0.5,1.5,0.572535,24,0.5,0.375,2.125,0.517905,a
2010101007,2010,5,3,0.5,0.375,1.375,0.49816,21,0.5,0.625,1.5,0.521901,a
2010101008,2010,5,5,0.5,0.625,1.625,0.489375,27,0.375,0.4375,2.125,0.491354,a
2010101009,2010,5,29,0.75,0.625,2,0.474132,23,0.75,0.6875,1.875,0.528876,h
2010101010,2010,5,25,0.625,0.625,1.375,0.556215,8,0.625,0.625,1.625,0.463229,a
2010101011,2010,5,15,0.375,0.3125,2.125,0.490972,16,0.625,0.75,1.625,0.552014,h
2010101012,2010,5,30,0.5,0.3125,2.5,0.507257,26,0.75,0.6875,0.875,0.465382,a
2010101100,2010,5,12,0.5,0.625,1.375,0.532986,20,0.25,0.5625,1.875,0.480587,h
2010101700,2010,6,19,0.75,0.625,1,0.534527,10,0.625,0.5,1.75,0.534368,a
2010101701,2010,6,32,0.375,0.25,1.5,0.525,16,0.5,0.6875,1.5,0.561181,h
2010101702,2010,6,11,1,0.6875,1.125,0.545372,1,0.5,0.625,2,0.508969,h
2010101703,2010,6,4,0.625,0.625,1,0.491858,3,0.125,0.3125,2.25,0.463333,h
2010101704,2010,6,5,0.5,0.625,1.5,0.481146,14,0.375,0.375,1.75,0.463958,h
2010101705,2010,6,27,0.625,0.5,2.75,0.512932,18,0,0.125,2.875,0.476632,h
2010101706,2010,6,26,0.625,0.6875,1.75,0.499722,21,0.5,0.625,1.375,0.5202,h
2010101707,2010,6,17,0.5,0.4375,1.375,0.466357,31,0.25,0.4375,2,0.439687,a
2010101708,2010,6,24,0.25,0.375,2.25,0.465521,23,0.75,0.6875,1.5,0.525647,a
2010101709,2010,6,13,0.25,0.25,1.75,0.508125,12,0.875,0.6875,1.125,0.532743,a
2010101710,2010,6,30,0.625,0.375,2.125,0.527743,15,0.25,0.3125,1.5,0.501493,h
2010101711,2010,6,20,0.875,0.5625,1.5,0.579375,25,0.5,0.5625,1.125,0.551285,h
2010101712,2010,6,28,0.375,0.3125,1.375,0.480298,6,0.625,0.75,1.875,0.457326,a
2010101800,2010,6,7,0.5,0.375,1.125,0.513021,8,0.75,0.6875,1.25,0.477535,a
2010102400,2010,7,21,0.75,0.625,1.375,0.509861,2,0.125,0.4375,2,0.50934,h
2010102401,2010,7,10,0.25,0.4375,2,0.500625,4,0.625,0.625,1.625,0.538926,a
2010102402,2010,7,1,0.875,0.6875,1,0.514553,9,0.25,0.25,2.375,0.472391,h
2010102403,2010,7,14,0.5,0.4375,1.625,0.451942,7,0.25,0.375,2.5,0.471042,h
2010102404,2010,7,23,0.5,0.625,2,0.490369,3,0.25,0.375,1.75,0.465833,a
2010102405,2010,7,17,0.5,0.4375,2,0.474829,28,0.375,0.375,1.375,0.486771,a
2010102406,2010,7,22,0.5,0.4375,2,0.511632,30,0.125,0.375,1.75,0.464097,h
2010102407,2010,7,24,0.375,0.4375,1.875,0.475035,32,0.125,0.25,2.25,0.468873,h
2010102408,2010,7,8,0.625,0.6875,2.5,0.450758,26,0.75,0.6875,1.25,0.473264,h
2010102409,2010,7,31,0.625,0.4375,1.875,0.464757,29,0.375,0.5625,3.375,0.435764,h
2010102410,2010,7,16,0.875,0.6875,1.75,0.522639,11,0.375,0.6875,1.625,0.481979,a
2010102411,2010,7,13,0.25,0.25,1.75,0.496458,15,0.375,0.375,1.375,0.520521,a
2010102412,2010,7,19,0.875,0.6875,1.25,0.527027,20,0.125,0.5,2.125,0.48833,h
2010102500,2010,7,25,0.5,0.5,1.5,0.542917,27,0.375,0.5,2.5,0.505382,a
2010103100,2010,8,30,0.75,0.4375,1.625,0.527188,13,0.25,0.25,1.625,0.493507,h
2010103101,2010,8,25,0.375,0.4375,1.875,0.527639,7,0.375,0.4375,2.375,0.496667,a
2010103102,2010,8,2,0.75,0.4375,1.25,0.578299,10,0.75,0.5,2,0.539298,a
2010103103,2010,8,14,0.625,0.5,1.25,0.45456,9,0.125,0.1875,2.5,0.485224,h
2010103104,2010,8,18,0.375,0.1875,2.125,0.484167,28,0.375,0.375,1.5,0.474896,h
2010103105,2010,8,32,0.5,0.3125,1.375,0.541875,22,0.25,0.375,2.125,0.459653,h
2010103106,2010,8,12,0.5,0.6875,1.625,0.527326,19,0.625,0.75,1.375,0.526904,a
2010103107,2010,8,16,0.875,0.6875,1.625,0.537847,8,0.75,0.6875,0.625,0.480069,h
2010103108,2010,8,11,1,0.6875,1.125,0.515927,20,0.125,0.5,2,0.484511,h
2010103109,2010,8,29,0.625,0.5,2.375,0.480243,24,0.625,0.5,2,0.509433,a
2010103110,2010,8,15,0.5,0.4375,1.625,0.516007,31,0.25,0.4375,1.875,0.430174,h
2010103111,2010,8,23,0.5,0.625,2,0.50398,4,0.5,0.5625,1.625,0.52403,h
2010110100,2010,8,6,0.875,0.75,1.375,0.497535,5,0.625,0.5625,1.875,0.527707,h
2010110700,2010,9,18,0.375,0.1875,2,0.48314,12,0.875,0.6875,1.375,0.517103,a
2010110701,2010,9,1,0.875,0.6875,1,0.524449,10,0.625,0.4375,2.375,0.520722,h
2010110702,2010,9,3,0.625,0.4375,1.25,0.518299,11,0.375,0.6875,1.75,0.454549,h
2010110703,2010,9,5,0.5,0.5625,1.625,0.493924,16,0.5,0.6875,1.75,0.53684,a
2010110704,2010,9,9,0.25,0.1875,1.125,0.460903,17,0.5,0.5,2.75,0.456042,a
2010110705,2010,9,20,0.875,0.5,1.625,0.588977,29,0.25,0.4375,3.25,0.42196,h
2010110706,2010,9,21,0.75,0.625,1.25,0.525764,24,0.625,0.5,2,0.503461,h
2010110707,2010,9,22,0.5,0.375,2.125,0.503021,23,0.75,0.625,1.25,0.53964,a
2010110708,2010,9,31,0.625,0.4375,2,0.465313,27,0.5,0.5625,2.375,0.544306,a
2010110709,2010,9,26,0.625,0.6875,1.5,0.515104,6,0.5,0.6875,1.75,0.458924,h
2010110710,2010,9,15,0.625,0.5,1.75,0.510286,14,0.375,0.5,2,0.480339,h
2010110711,2010,9,19,0.875,0.75,1.25,0.531125,25,0.375,0.375,1.5,0.531146,h
2010110800,2010,9,2,0.625,0.375,1.5,0.560208,4,0.625,0.625,1.5,0.508472,a
2010111100,2010,10,21,0.75,0.625,1.125,0.53316,1,0.375,0.625,2.25,0.495045,h
2010111400,2010,10,10,0.375,0.5,1.75,0.513333,8,0.625,0.625,1,0.481667,h
2010111401,2010,10,3,0.625,0.4375,1.375,0.500678,12,1,0.75,0.875,0.554064,a
2010111402,2010,10,6,0.875,0.6875,1.125,0.498299,2,0.125,0.375,2.125,0.500556,h
2010111403,2010,10,7,0.5,0.4375,0.875,0.510903,5,0.5,0.5,1.625,0.497464,h
2010111404,2010,10,17,0.625,0.5625,2.125,0.486496,20,0,0.4375,2.25,0.480101,h
2010111405,2010,10,24,0.375,0.5,2,0.488819,22,0.125,0.3125,2.25,0.450694,h
2010111406,2010,10,9,0.25,0.1875,1.125,0.459583,18,0,0.1875,2.875,0.482431,h
2010111407,2010,10,13,0.375,0.3125,1.375,0.508993,14,0.25,0.4375,1.75,0.486485,h
2010111408,2010,10,27,0.5,0.5,3,0.528993,25,0.5,0.4375,1.25,0.527222,a
2010111409,2010,10,29,0.625,0.4375,1.875,0.475833,31,0.375,0.5,1.75,0.466146,a
2010111410,2010,10,30,0.75,0.4375,1.5,0.519415,32,0.125,0.3125,2.125,0.489647,h
2010111411,2010,10,4,0.5,0.5625,1,0.503316,11,0.5,0.75,1.375,0.450799,a
2010111500,2010,10,28,0.25,0.3125,1.75,0.451339,26,0.75,0.6875,0.875,0.488333,a
2010111800,2010,11,10,0.25,0.4375,1.625,0.49441,17,0.625,0.625,2.25,0.475625,a
2010112100,2010,11,22,0.375,0.25,2.125,0.495764,1,0.5,0.6875,2,0.515705,a
2010112101,2010,11,12,0.625,0.8125,1.5,0.538646,5,0.5,0.5,1.375,0.478992,h
2010112102,2010,11,2,0.5,0.3125,1.75,0.543854,9,0.25,0.25,2.5,0.483523,a
2010112103,2010,11,4,0.625,0.625,1,0.507309,15,0.375,0.5,1.625,0.517292,h
2010112104,2010,11,7,0.5,0.4375,1.5,0.513715,3,0.25,0.4375,1.25,0.478229,h
2010112105,2010,11,25,0.375,0.4375,1.75,0.524792,18,0,0.1875,2.875,0.500625,h
2010112106,2010,11,20,0.75,0.375,1.875,0.55679,19,0.625,0.75,1.125,0.525411,a
2010112107,2010,11,23,0.5,0.625,2.125,0.518598,31,0.25,0.4375,1.875,0.465694,h
2010112108,2010,11,8,0.5,0.5625,2.625,0.435707,28,0.5,0.375,1.5,0.490607,a
2010112109,2010,11,14,0.625,0.4375,1.125,0.470014,29,0.25,0.4375,3.25,0.429217,h
2010112110,2010,11,32,0.5,0.3125,1.25,0.522187,21,0.625,0.6875,1.125,0.528672,a
2010112111,2010,11,30,0.625,0.375,1.75,0.504693,24,0.75,0.5625,1.875,0.520128,a
2010112112,2010,11,11,1,0.75,1,0.519608,6,0.375,0.625,1.875,0.461458,h
2010112113,2010,11,26,0.75,0.75,1.5,0.527188,27,0.5,0.5,2.625,0.524271,h
2010112200,2010,11,16,0.875,0.6875,1.75,0.546042,13,0.25,0.3125,1.5,0.496424,h
2010112500,2010,12,18,0.25,0.125,2,0.495327,11,0.625,0.8125,1.125,0.453993,a
2010112501,2010,12,25,0.25,0.375,2.125,0.531979,23,0.75,0.625,1.5,0.524883,a
