"geid","gseason","gweek","htid","hthwr","htowr","hthtor","hthtop","atid","atawr","atowr","atator","atatop","gw"
"2010092612",2010,3,29,0.625,0.625,2.25,0.47062501311302185,15,0.25,0.3125,1.625,0.4958333373069763,"h"
"2010092613",2010,3,31,0.625,0.375,1.75,0.45944443345069885,16,0.75,0.8125,1.25,0.5519791841506958,"h"
"2010092614",2010,3,10,0.5,0.5625,1.375,0.5199305415153503,12,0.625,0.5,1.25,0.49871528148651123,"a"
"2010092700",2010,3,17,0.625,0.5,1.5,0.4909403920173645,19,0.625,0.6875,1.5,0.5545486211776733,"h"
"2010100300",2010,4,9,0.25,0.3125,1.375,0.45673611760139465,12,0.75,0.5625,0.75,0.5260763764381409,"a"
"2010100301",2010,4,3,0.5,0.375,1.25,0.48607638478279114,2,0.25,0.5625,1.875,0.5067708492279053,"h"
"2010100302",2010,4,4,0.625,0.625,1.375,0.5019270181655884,1,0.5,0.625,2.25,0.48180556297302246,"a"
"2010100303",2010,4,8,0.625,0.5625,2.25,0.4606190621852875,13,0.375,0.375,1.375,0.5079861283302307,"a"
"2010100304",2010,4,19,0.875,0.75,1.125,0.5663889050483704,18,0,0.125,3.125,0.480798602104187,"h"
"2010100305",2010,4,21,0.75,0.5625,1.375,0.5024999976158142,30,0.125,0.375,1.875,0.4693402647972107,"h"
"2010100306",2010,4,23,0.625,0.75,2,0.485507994890213,22,0.375,0.4375,2,0.4780208468437195,"h"
"2010100307",2010,4,32,0.25,0.1875,1.625,0.5221874713897705,31,0.125,0.375,2.25,0.42065972089767456,"h"
"2010100308",2010,4,7,0.625,0.4375,0.75,0.531701385974884,6,0.625,0.75,1.5,0.46388888359069824,"h"
"2010100309",2010,4,15,0.375,0.3125,2.375,0.5030555725097656,5,0.75,0.6875,1.875,0.5540956854820251,"a"
"2010100310",2010,4,26,0.625,0.6875,1.625,0.48180556297302246,28,0.25,0.25,1.125,0.48576387763023376,"a"
"2010100311",2010,4,16,0.875,0.8125,1.375,0.5119444727897644,29,0.5,0.5625,2.875,0.4577430486679077,"h"
"2010100312",2010,4,27,0.5,0.4375,2.75,0.5235226154327393,17,0.25,0.4375,3,0.4477083384990692,"h"
"2010100400",2010,4,10,0.375,0.5,1.875,0.5097916722297668,11,0.375,0.6875,1.875,0.4979513883590698,"a"
"2010101000",2010,5,9,0.25,0.3125,1,0.44440972805023193,7,0.25,0.4375,2.375,0.4695138931274414,"a"
"2010101001",2010,5,1,0.75,0.625,1,0.5183334350585938,13,0.25,0.3125,1.5,0.49340277910232544,"h"
"2010101002",2010,5,6,0.875,0.75,1.375,0.4915972352027893,14,0.5,0.4375,1.75,0.4716666638851166,"h"
"2010101003",2010,5,28,0.375,0.3125,1.625,0.47866564989089966,19,0.5,0.6875,1.75,0.5407932996749878,"h"
"2010101004",2010,5,18,0.25,0.125,2,0.4850347340106964,32,0.125,0.1875,2.5,0.4711992144584656,"h"
"2010101005",2010,5,22,0.5,0.4375,1.625,0.4951041638851166,17,0.375,0.5,3.125,0.44024306535720825,"a"
"2010101006",2010,5,2,0.75,0.5,1.5,0.5725347399711609,24,0.5,0.375,2.125,0.5179052948951721,"a"
"2010101007",2010,5,3,0.5,0.375,1.375,0.4981597363948822,21,0.5,0.625,1.5,0.5219009518623352,"a"
"2010101008",2010,5,5,0.5,0.625,1.625,0.4893749952316284,27,0.375,0.4375,2.125,0.49135416746139526,"a"
"2010101009",2010,5,29,0.75,0.625,2,0.4741319417953491,23,0.75,0.6875,1.875,0.5288759469985962,"h"
"2010101010",2010,5,25,0.625,0.625,1.375,0.5562152862548828,8,0.625,0.625,1.625,0.4632291793823242,"a"
"2010101011",2010,5,15,0.375,0.3125,2.125,0.49097222089767456,16,0.625,0.75,1.625,0.5520138740539551,"h"
"2010101012",2010,5,30,0.5,0.3125,2.5,0.5072569251060486,26,0.75,0.6875,0.875,0.4653819501399994,"a"
"2010101100",2010,5,12,0.5,0.625,1.375,0.5329861044883728,20,0.25,0.5625,1.875,0.480587363243103,"h"
"2010101700",2010,6,19,0.75,0.625,1,0.5345273017883301,10,0.625,0.5,1.75,0.5343675017356873,"a"
"2010101701",2010,6,32,0.375,0.25,1.5,0.5249999761581421,16,0.5,0.6875,1.5,0.5611805319786072,"h"
"2010101702",2010,6,11,1,0.6875,1.125,0.5453715324401855,1,0.5,0.625,2,0.508968710899353,"h"
"2010101703",2010,6,4,0.625,0.625,1,0.4918575584888458,3,0.125,0.3125,2.25,0.4633333384990692,"h"
"2010101704",2010,6,5,0.5,0.625,1.5,0.48114582896232605,14,0.375,0.375,1.75,0.4639583230018616,"h"
