"geid","gseason","gweek","htabbr","hthwr","htowr","htcwr","hthtor","hthtop","atabbr","atawr","atowr","atcwr","atator","atatop","gw"
"2015092400",2015,3,"NYG",0.375,0.375,0.5,1.5,0.5016319155693054,"WAS",0.125,0.25,0.33673468232154846,1.625,0.523686408996582,"h"
"2015092700",2015,3,"DAL",0.5,0.75,0.5612244606018066,2,0.5172643661499023,"ATL",0.625,0.5,0.581632673740387,0.5,0.5037500262260437,"a"
"2015092701",2015,3,"CAR",0.625,0.5,0.44897958636283875,1.625,0.512807309627533,"NO",0.5,0.375,0.6326530575752258,1.75,0.5020012855529785,"h"
"2015092702",2015,3,"NYJ",0.25,0.3125,0.4897959232330322,2.125,0.49888888001441956,"PHI",0.5,0.5625,0.5408163070678711,2.25,0.4818402826786041,"a"
"2015092703",2015,3,"HOU",0.5,0.4375,0.4897959232330322,1.375,0.5016319155693054,"TB",0.25,0.125,0.3163265287876129,2.125,0.4363321363925934,"h"
"2015092704",2015,3,"MIN",0.75,0.4375,0.44897958636283875,1.125,0.46523556113243103,"SD",0.375,0.5,0.5714285969734192,2.375,0.513907790184021,"h"
"2015092705",2015,3,"STL",0.5,0.375,0.3163265287876129,1.25,0.4631376266479492,"PIT",0.625,0.6875,0.6224489808082581,1.125,0.5531250238418579,"a"
"2015092706",2015,3,"NE",0.875,0.8125,0.7653061151504517,0.375,0.48093751072883606,"JAC",0,0.25,0.30612245202064514,1.375,0.44392362236976624,"h"
"2015092707",2015,3,"BAL",0.75,0.5625,0.6224489808082581,0.625,0.5149305462837219,"CIN",0.75,0.6875,0.5714285969734192,1.25,0.5329166650772095,"a"
"2015092708",2015,3,"CLE",0.5,0.4375,0.3163265287876129,1.375,0.44381943345069885,"OAK",0.125,0.3125,0.33673468232154846,2.125,0.4996180534362793,"a"
"2015092709",2015,3,"TEN",0.125,0.125,0.3979591727256775,1.25,0.460833340883255,"IND",0.625,0.6875,0.6020408272743225,2,0.47968751192092896,"a"
"2015092710",2015,3,"ARI",0.875,0.6875,0.5204081535339355,0.875,0.5152083039283752,"SF",0.375,0.5,0.6020408272743225,1.5,0.5067492723464966,"h"
"2015092711",2015,3,"SEA",0.875,0.6875,0.5612244606018066,1,0.528289258480072,"CHI",0.25,0.25,0.5,1.5,0.5012331008911133,"h"
"2015092712",2015,3,"MIA",0.375,0.4375,0.44897958636283875,1.375,0.4942361116409302,"BUF",0.5,0.5625,0.3877550959587097,1.125,0.4945138990879059,"a"
"2015092713",2015,3,"DET",0.75,0.5625,0.40816327929496765,1.625,0.5337152481079102,"DEN",0.625,0.8125,0.6122449040412903,1.75,0.5142708420753479,"a"
"2015092800",2015,3,"GB",1,0.8125,0.704081654548645,0.5,0.5477083325386047,"KC",0.375,0.5625,0.44897958636283875,0.75,0.5105555653572083,"h"
"2015100100",2015,4,"PIT",0.75,0.6875,0.6262626051902771,1.125,0.503700852394104,"BAL",0.375,0.5625,0.6161616444587708,1.875,0.47702834010124207,"a"
"2015100400",2015,4,"MIA",0.375,0.4375,0.4444444477558136,1.625,0.48656249046325684,"NYJ",0.5,0.375,0.4848484992980957,0.75,0.5528547167778015,"a"
"2015100401",2015,4,"CHI",0.375,0.3125,0.49494948983192444,1.875,0.5119097232818604,"OAK",0.125,0.3125,0.34343433380126953,2.25,0.49590277671813965,"h"
"2015100402",2015,4,"ATL",0.375,0.5,0.5858585834503174,1.375,0.5180208086967468,"HOU",0.375,0.4375,0.49494948983192444,1.5,0.5002992153167725,"h"
"2015100403",2015,4,"CIN",0.625,0.6875,0.5757575631141663,2,0.47479167580604553,"KC",0.375,0.5625,0.4444444477558136,0.75,0.5375347137451172,"h"
"2015100404",2015,4,"IND",0.75,0.6875,0.6060606241226196,2.75,0.5174502730369568,"JAC",0,0.25,0.3030303120613098,1.25,0.464424729347229,"h"
"2015100405",2015,4,"WAS",0.5,0.3125,0.3333333432674408,2.125,0.5515277981758118,"PHI",0.5,0.5625,0.5454545617103577,2.125,0.4562152922153473,"h"
"2015100406",2015,4,"TB",0,0.125,0.31313130259513855,2,0.4827992916107178,"CAR",0.5,0.5625,0.4545454680919647,1.25,0.5517013669013977,"a"
"2015100407",2015,4,"BUF",0.625,0.5625,0.39393940567970276,1.875,0.507361114025116,"NYG",0.375,0.375,0.5050504803657532,1.25,0.49600693583488464,"a"
"2015100408",2015,4,"SD",0.625,0.5,0.5656565427780151,1.375,0.5050347447395325,"CLE",0.25,0.375,0.31313130259513855,2.375,0.5054513812065125,"h"
"2015100409",2015,4,"SF",0.5,0.4375,0.5959596037864685,1.625,0.4945991635322571,"GB",0.75,0.875,0.7070707082748413,0.75,0.5235416889190674,"a"
"2015100410",2015,4,"ARI",0.75,0.625,0.5252525210380554,1.25,0.5129166841506958,"STL",0.375,0.4375,0.31313130259513855,1.5,0.45444443821907043,"a"
"2015100411",2015,4,"DEN",1,0.8125,0.6161616444587708,1.25,0.523402750492096,"MIN",0.125,0.4375,0.4545454680919647,1.375,0.49751320481300354,"h"
"2015100412",2015,4,"NO",0.25,0.375,0.6262626051902771,1.875,0.4941997826099396,"DAL",0.875,0.6875,0.5555555820465088,1,0.5595370531082153,"h"
"2015100500",2015,4,"SEA",0.875,0.6875,0.5656565427780151,1.25,0.5227430462837219,"DET",0.25,0.5,0.4040403962135315,1.625,0.47218748927116394,"h"
"2015100800",2015,5,"HOU",0.5,0.4375,0.49000000953674316,1.375,0.5209375023841858,"IND",0.625,0.6875,0.6100000143051147,1.75,0.46038195490837097,"a"
"2015101100",2015,5,"PHI",0.625,0.5625,0.5400000214576721,2.25,0.4255208373069763,"NO",0.5,0.375,0.6299999952316284,1.875,0.5034943222999573,"h"
